,Title,Episodes,Average Score (Out of 100),Popularity,Is Adult,Country of Origin,Source,Genres,Start Date,End Date,Description,Season,Season Year,Duration,Type
21,Kidou Shin Seiki Gundam X,39.0,70.0,6889,False,JP,ORIGINAL,"['Adventure', 'Drama', 'Mecha', 'Sci-Fi']",5/4/1996,28/12/1996,"When one space colony declared its independence from the Earth Federation, the devastating 7th Space War, an all-out war between Earth and space, resulted. The Federation responded to the Space Revolutionary Army with mobile suits, called Gundams. However, the Space Revolutionary forces played their trump card and dropped hundreds of space colonies onto the Earth, plunging the planet into a seven-year-long nuclear winter. The Federation collapsed, but the Space Revolutionary Army was unable to invade the Earth in the aftermath of the colony drop. Fifteen years have passed. The year is now After War 0015, and a New Federation has sprung up on Earth to restore order. In space, the colonial leaders have been rebuilding their own forces as well. By chance, fifteen-year-old Garrod Ran has discovered an old Federation mobile suit, the Gundam X, and now he uses it to help out the Vulture ship Freeden in its struggle to keep the powers that be from repeating the mistakes of the past. ",SPRING,1996.0,24.0,TV
22,Kidou Senshi Gundam SEED,50.0,72.0,21122,False,JP,ORIGINAL,"['Action', 'Drama', 'Mecha', 'Sci-Fi']",5/10/2002,27/9/2003,"C.E. 71: In the midst of war between the Naturals (OMNI) and Coordinators (ZAFT), a unit from ZAFT is dispatched to hijack the Earth Alliance's newly developed mobile suits on the neutral colony of Heliopolis. Orb Civilian Coordinator Kira Yamato attends the technical college on Heliopolis. After ZAFT hijacks 4 of the 5 mobile suits, Kira stumbles upon the last one, Strike, forced to pilot it to save his and his friend's lives. During this confusion, Kira also reunites with his childhood Coordinator friend, Athrun Zala, who ironically turns out to be a ZAFT soldier and one of the hijackers at Heliopolis. Having control of Strike, Kira joins the Earth Alliance boarding the ship known as Archangel, to protect his friends while despairing over becoming the enemy of his childhood friend and people.
<br><br>
<i>Note: An HD remaster was broadcasting starting on December 23, 2011 with two recap episodes cut, including new and updated animation, conversion to 16:9, and updated music.</i>",FALL,2002.0,24.0,TV
23,Kidou Senshi Gundam SEED DESTINY,50.0,64.0,12951,False,JP,ORIGINAL,"['Action', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']",9/10/2004,1/10/2005,"C.E. 73: While the second battle of Yachin Due brought the war between the Naturals and Coordinators to a close, tensions between the two races are at an all-time high. During a meeting between PLANT Chairman Gilbert Dullindal and Orb Representative Cagalli Yula Athha, a unit of soldiers hijack ZAFT's newly developed Gundams. ZAFT soldier Shinn Asuka along with his friends at the ZAFT ship Minerva sortie in attempt to deter this hijacking. With the assistance of Cagalli's bodyguard, Athrun Zala, the Minerva chases after the unknown ship that hijacked the Gundams until an even greater problem occurs leading to the start of the second Bloody Valentine war.",FALL,2004.0,24.0,TV
24,∀ Gundam,50.0,78.0,12745,False,JP,ORIGINAL,"['Action', 'Adventure', 'Drama', 'Mecha', 'Sci-Fi']",9/4/1999,14/4/2000,"This story is set thousands of years in the future. The people of Earth have forgotten the space wars of the past, reverting back to a pre-industrial existence. But the lunar settlers known as the Moonrace, who have retained their high technology, now plan to seize their mother planet for themselves. As the war of the worlds begins, a young Moonrace citizen named Loran Cehack, pilot of the legendary Turn A Gundam, struggles to bridge the gap between humanity's long-separated branches.<br><br>
(Source: GundamOfficial)",SPRING,1999.0,24.0,TV
25,Kidou Butouden G Gundam,49.0,73.0,11747,False,JP,ORIGINAL,"['Action', 'Adventure', 'Drama', 'Mecha', 'Romance']",1/4/1994,31/3/1995,"It is time for the ""Gundam Fight"" tournament! Each country sends a Gundam to Earth for this prestigious tournament in the hopes of winning power and glory for their homeland! But this time, there's an unseen evil lurking behind the scene. Domon Kasshu, Neo Japan's reluctant Fighter, is determined to uncover this evil and clear his family name! The fight to the top begins now!<br>
<br>
(Source: Nozomi Entertainment)",SPRING,1994.0,24.0,TV
26,Last Exile,26.0,74.0,24090,False,JP,ORIGINAL,"['Action', 'Adventure', 'Sci-Fi']",7/4/2003,29/9/2003,"It's the dawn of the Golden Age of Aviation on planet Prester, and retro-futuristic sky vehicles known as vanships dominate the horizon. Claus Valca &ndash; a flyboy born with the right stuff &ndash; and his fiery navigator Lavie are fearless racers obsessed with becoming the first sky couriers to cross the Grand Stream in a vanship. But when the high-flying duo encounters a mysterious girl named Alvis, they are thrust into the middle of an endless battle between Anatoray and Disith &ndash; two countries systematically destroying each other according to the code of chivalric warfare. Lives will be lost and legacies determined as Claus and Lavie attempt to bring peace to their world by solving the riddle of its chaotic core.<br>
<br>
(Source: Funimation)",SPRING,2003.0,24.0,TV
27,Mai-HiME,26.0,68.0,15189,False,JP,ORIGINAL,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Mecha', 'Romance']",30/9/2004,31/3/2005,"Mai Tokiha thought she had enough trouble in life between taking care of her ailing brother and transferring to a new school. But when she saves a mysterious girl wielding a sword, everything changes. A power awakens within her and she becomes a HiME, a battle princess! But she’s not alone with this power—eleven other girls share her fate, and the burden is a heavy one.<br><br>
(Source: Crunchyroll)",FALL,2004.0,23.0,TV
28,Mai-Otome,26.0,68.0,6233,False,JP,ORIGINAL,"['Comedy', 'Drama', 'Fantasy']",7/10/2005,31/3/2006,"Arika Yumemiya has traveled far in search of her goal: the prestigious Gualderobe Academy. This is the school where young girls are trained to become Otomes, protectors of royal leaders throughout the lands. Here, Arika makes plenty of friends, but some enemies know something about her past that she does not. Nevertheless, her spirit and determination will keep pushing her forward.<br><br>
Adapted from its predecessor, Mai-HiME, this series is not a direct sequel, but an alternate universe setting featuring some of the Mai-HiME cast (though with different personalities).
<br><br>
(Source: Anime News Network)",FALL,2005.0,24.0,TV
29,Shin Shirayuki-hime Densetsu Pretear,13.0,65.0,7613,False,JP,MANGA,"['Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Romance']",4/4/2001,21/6/2001,"A sixteen year old girl is struggling to adjust to a new step-family when seven guys appear on the scene revealing that she possesses a special magical power. Shying away from the strange group, she later joins them when a monster places her friend's life in jeopardy. Without training, she must prove herself capable to take up the sacred duty of the Pretear. They must resolve their differences and work together to defeat the evil princess intent on destruction. <br><br>
(Source: FUNimation) ",SPRING,2001.0,23.0,TV
30,AIR,13.0,68.0,38255,False,JP,VISUAL_NOVEL,"['Drama', 'Romance', 'Slice of Life', 'Supernatural']",7/1/2005,1/4/2005,"Yukito Kunisaki is on a journey in search of the Winged Maiden who was bound to the sky centuries ago, after hearing an old childhood tale from his mother. As Yukito shows his puppet show to people in an attempt to make some money, he finds himself in a small town in which he did not expect to stay very long. However, when he meets an unusual girl named Misuzu, things take a drastic turn as he is invited to stay with her.<br><br>
By staying in the quaint town, Yukito soon becomes friends with the locals. As he gets to know them better, he learns of their problems and decides to help, putting his search for the Winged Maiden on hold. With his search on hold, and his growing attachment to Misuzu and the small town, will Yukito ever find the Winged Maiden, or is she closer than he thought?
<br><br>
[Written by MAL Rewrite]<br><br>

<i>Note: Includes episode 13, Soushuuhen (Summary).</i>",WINTER,2005.0,24.0,TV
